nom,date_naissance,num_deptmt,num_circo,groupe_sigle,place_en_hemicycle,nb_mandats,mandat
Jean-Louis Bricout,1957-12-27,02,3,parti socialiste,564.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Sandrine Doucet,1959-09-10,33,1,parti socialiste,406.0,1,"[2012, 2013, 2014, 2015, 2016, 2017]"
François André,1967-07-19,35,3,parti socialiste,628.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Yann Galut,1966-03-14,18,3,parti socialiste,375.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Frédéric Roig,1969-05-18,34,4,parti socialiste,361.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Guillaume Larrivé,1977-01-24,89,1,les republicains,45.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Yves Goasdoue,1959-08-22,61,3,parti socialiste,604.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Philippe Kemel,1948-06-28,62,11,parti socialiste,265.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Carole Delga,1971-08-19,31,8,parti socialiste,509.0,2,"[2015, 2016, 2017]"
Dominique Lefebvre,1956-05-07,95,10,parti socialiste,338.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Henri Guaino,1957-03-11,78,3,les republicains,156.0,1,"[2012, 2013, 2014, 2015, 2016, 2017]"
Yann Capet,1975-12-31,62,7,parti socialiste,482.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Fabrice Verdier,1968-12-16,30,4,parti socialiste,384.0,3,"[2012, 2013, 2014, 2015, 2016, 2017]"
Edith Gueugneau,1953-06-07,71,2,parti socialiste,649.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Anne Grommerch,1970-12-11,57,9,les republicains,91.0,2,"[2012, 2013, 2014, 2015, 2016]"
Yannick Moreau,1975-08-04,85,3,les republicains,231.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Chaynesse Khirouni,1968-03-17,54,1,parti socialiste,566.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Jean-Jacques Bridey,1953-05-07,94,7,parti socialiste,407.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Gabriel Serville,1959-09-27,973,1,democratie et republique,597.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Yves Daniel,1954-07-31,44,6,parti socialiste,626.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Patrice Carvalho,1952-11-15,60,6,democratie et republique,585.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Virginie Duby-Muller,1979-08-16,74,4,les republicains,157.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Annie Le Houerou,1960-03-31,22,4,parti socialiste,481.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Bernadette Laclais,1967-03-10,73,4,parti socialiste,400.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Rémi Pauvros,1952-07-01,59,3,parti socialiste,421.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Philippe Le Ray,1968-06-16,56,2,les republicains,149.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Jean-Luc Laurent,1957-06-23,94,10,parti socialiste,495.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Yannick Trigance,1962-07-13,93,1,parti socialiste,454.0,2,[2017]
Jean-Marc Germain,1966-06-12,92,12,parti socialiste,517.0,1,"[2012, 2013, 2014, 2015, 2016, 2017]"
Jacques Alain Bénisti,1952-04-10,94,4,les republicains,122.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Boinali Said,1960-09-25,976,1,parti socialiste,633.0,1,"[2012, 2013, 2014, 2015, 2016, 2017]"
Sébastien Denaja,1979-01-14,34,7,parti socialiste,472.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Michel Pouzol,1962-07-05,91,3,parti socialiste,610.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Pascal Cherki,1966-09-01,75,11,parti socialiste,374.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Laurent Baumel,1965-08-13,37,4,parti socialiste,601.0,3,"[2012, 2013, 2014, 2015, 2016, 2017]"
Sylviane Bulteau,1964-04-21,85,2,parti socialiste,568.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Georges Ginesta,1942-07-08,83,5,les republicains,112.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Hugues Fourage,1965-06-04,85,5,parti socialiste,457.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Olivier Audibert Troin,1960-08-16,83,8,les republicains,155.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Laure de La Raudière,1965-02-12,28,3,les republicains,132.0,3,"[2012, 2013, 2014, 2015, 2016, 2017]"
Christophe Borgel,1963-09-03,31,9,parti socialiste,445.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Jean-Noël Carpentier,1969-12-09,95,3,parti radical de gauche,277.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Monique Rabin,1954-07-02,44,9,parti socialiste,627.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Patrick Hetzel,1964-07-02,67,7,les republicains,72.0,1,"[2012, 2013, 2014, 2015, 2016, 2017]"
Arnaud Leroy,1976-04-23,999,5,parti socialiste,410.0,1,"[2012, 2013, 2014, 2015, 2016, 2017]"
Ibrahim Aboubacar,1965-02-01,976,2,parti socialiste,648.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Sophie Dion,1956-03-25,74,6,les republicains,214.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
François de Mazières,1960-05-22,78,1,les republicains,153.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Luc Belot,1974-09-06,49,1,parti socialiste,251.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Camille de Rocca Serra,1954-05-21,2A,2,les republicains,33.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Alain Chrétien,1975-03-17,70,1,les republicains,56.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Christian Assaf,1972-09-01,34,8,parti socialiste,561.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Roger-Gérard Schwartzenberg,1943-04-17,94,3,parti radical de gauche,268.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Philip Cordery,1966-04-17,999,4,parti socialiste,539.0,1,"[2012, 2013, 2014, 2015, 2016, 2017]"
Benoît Hamon,1967-06-26,78,11,parti socialiste,549.0,3,"[2014, 2015, 2016, 2017]"
Joaquim Pueyo,1950-05-30,61,1,parti socialiste,395.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Michèle Fournier-Armand,1946-07-28,84,1,parti socialiste,403.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Vincent Burroni,1947-10-01,13,12,parti socialiste,488.0,3,"[2012, 2013, 2014, 2015, 2016, 2017]"
Brigitte Bourguignon,1959-03-21,62,6,parti socialiste,616.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Gilbert Sauvan,1956-07-15,04,1,parti socialiste,538.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Jacques Krabal,1948-04-10,02,5,parti radical de gauche,287.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Philippe Armand Martin,1949-04-28,51,3,les republicains,11.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Jean-Pierre Maggi,1944-04-27,13,8,parti radical de gauche,298.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Geneviève Gosselin-Fleury,1954-02-22,50,4,parti socialiste,571.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Guillaume Bachelay,1974-07-13,76,4,parti socialiste,425.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Sylvie Tolmont,1962-10-09,72,4,parti socialiste,330.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Carlos Da Silva,1974-11-16,91,1,parti socialiste,471.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Jean-Marie Beffara,1962-10-13,37,3,parti socialiste,644.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Gérard Menuel,1952-05-07,10,3,les republicains,206.0,2,"[2014, 2015, 2016, 2017]"
Florence Delaunay,1956-06-12,40,1,parti socialiste,478.0,2,"[2014, 2015, 2016, 2017]"
Jacques Moignard,1951-08-08,82,2,parti radical de gauche,296.0,3,"[2012, 2013, 2014, 2015, 2016]"
Fanélie Carrey-Conte,1980-05-16,75,15,parti socialiste,640.0,4,"[2012, 2013, 2014, 2015, 2016]"
Frédéric Barbier,1960-08-30,25,4,parti socialiste,558.0,2,"[2015, 2016, 2017]"
Jean-Marc Fournel,1958-12-09,54,3,parti socialiste,572.0,2,"[2014, 2015, 2016, 2017]"
Pierre Ribeaud,1955-06-13,38,5,parti socialiste,433.0,2,"[2015, 2016, 2017]"
Élie Aboud,1959-10-12,34,6,les republicains,123.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Sylvain Berrios,1968-05-06,94,1,les republicains,230.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Pascal Demarthe,1960-01-29,80,1,parti socialiste,479.0,2,"[2014, 2015, 2016, 2017]"
Eric Elkouby,1973-06-24,67,1,parti socialiste,383.0,2,"[2016, 2017]"
Napole Polutélé,1964-06-25,986,1,parti socialiste,614.0,1,"[2013, 2014, 2015, 2016, 2017]"
Frédéric Lefebvre,1963-10-14,999,1,les republicains,207.0,2,"[2013, 2014, 2015, 2016, 2017]"
Meyer Habib,1961-04-28,999,8,union des democrates et independants,306.0,1,"[2013, 2014, 2015, 2016, 2017]"
Jean-Louis Costes,1963-08-23,47,3,les republicains,44.0,2,"[2013, 2014, 2015, 2016, 2017]"
Robert Olive,1950-07-16,66,3,parti socialiste,629.0,3,"[2014, 2015, 2016, 2017]"
Christophe Premat,1976-12-07,999,3,parti socialiste,638.0,1,"[2014, 2015, 2016, 2017]"
Marie-Thérèse Le Roy,1953-05-07,29,1,parti socialiste,630.0,2,"[2016, 2017]"
Anne-Christine Lang,1961-08-10,75,9,parti socialiste,619.0,2,"[2014, 2015, 2016, 2017]"
Gilda Hobert,1948-12-02,69,1,parti radical de gauche,279.0,3,"[2014, 2015, 2016, 2017]"
Maina Sage,1975-05-10,987,1,union des democrates et independants,320.0,2,"[2014, 2015, 2016, 2017]"
Laurent Degallaix,1965-09-11,59,21,union des democrates et independants,210.0,2,"[2014, 2015, 2016, 2017]"
Stéphane Claireaux,1964-06-23,975,1,parti radical de gauche,296.0,1,"[2014, 2015, 2016, 2017]"
David Comet,1973-07-25,16,1,parti socialiste,621.0,1,"[2015, 2016, 2017]"
Marie Le Vern,1983-01-11,76,6,parti socialiste,460.0,2,"[2015, 2016, 2017]"
Philippe Naillet,1960-08-14,974,1,parti socialiste,487.0,2,"[2016, 2017]"
Romain Joron,1968-09-13,80,2,parti socialiste,650.0,1,"[2016, 2017]"
Vincent Ledoux,1966-06-21,59,10,les republicains,38.0,2,"[2016, 2017]"
Pascal Thévenot,1966-06-03,78,2,les republicains,23.0,2,"[2016, 2017]"
Karine Daniel,1974-06-22,44,3,parti socialiste,401.0,1,"[2016, 2017]"
Stéphanie Pernod Beaudon,1978-10-13,01,3,les republicains,128.0,2,"[2016, 2017]"
Cédric Roussel,1972-10-10,06,3,la republique en marche,309.0,0,"[2017, 2018, 2019, 2020, 2021, 2022]"
Nadia Hai,1980-03-08,78,11,la republique en marche,343.0,0,"[2017, 2018, 2019, 2020]"
Pascale Fontenel-Personne,1962-05-26,72,3,mouvement democrate,191.0,0,"[2017, 2018, 2019, 2020, 2021, 2022]"
Laurent Pietraszewski,1966-11-19,59,11,la republique en marche,371.0,0,"[2017, 2018, 2019, 2020]"
Guillaume Kasbarian,1987-02-28,28,1,la republique en marche,458.0,0,"[2017, 2018, 2019, 2020, 2021, 2022]"
Cyrille Isaac-Sibille,1958-04-30,69,12,mouvement democrate,183.0,1,"[2017, 2018, 2019, 2020, 2021, 2022]"
Guillaume Vuilletet,1967-06-20,95,2,la republique en marche,373.0,0,"[2017, 2018, 2019, 2020, 2021, 2022]"
Olivier Faure,1968-08-18,77,11,parti socialiste,503.0,0,"[2017, 2018, 2019, 2020, 2021, 2022]"
Pierre-Alain Raphan,1983-04-06,91,10,la republique en marche,269.0,0,"[2017, 2018, 2019, 2020, 2021, 2022]"
Isabelle Muller-Quoy,1967-11-08,95,1,la republique en marche,381.0,1,[2017]
Emmanuelle Anthoine,1964-07-02,26,4,les republicains,63.0,1,"[2017, 2018, 2019, 2020, 2021, 2022]"
Anne-Christine Lang,1961-08-10,75,10,la republique en marche,282.0,2,"[2017, 2018, 2019, 2020, 2021, 2022]"
Laurence Vichnievsky,1955-02-05,63,3,mouvement democrate,261.0,1,"[2017, 2018, 2019, 2020, 2021, 2022]"
Olivier Dassault,1951-06-01,60,1,les republicains,100.0,0,"[2017, 2018, 2019, 2020, 2021]"
Bérangère Abba,1976-10-22,52,1,la republique en marche,600.0,1,"[2017, 2018, 2019, 2020]"
Barbara Bessot Ballot,1972-04-13,70,1,la republique en marche,354.0,0,"[2017, 2018, 2019, 2020, 2021, 2022]"
Laurent Saint-Martin,1985-06-22,94,3,la republique en marche,339.0,0,"[2017, 2018, 2019, 2020, 2021, 2022]"
Carole Bureau-Bonnard,1965-08-09,60,6,la republique en marche,288.0,2,"[2017, 2018, 2019, 2020, 2021, 2022]"
Annaïg Le Meur,1973-04-29,29,1,la republique en marche,318.0,0,"[2017, 2018, 2019, 2020, 2021, 2022]"
Jean-Paul Lecoq,1958-10-13,76,8,democratie et republique,586.0,2,"[2017, 2018, 2019, 2020, 2021, 2022]"
Bertrand Sorre,1965-05-08,50,2,la republique en marche,559.0,2,"[2017, 2018, 2019, 2020, 2021, 2022]"
Gabriel Serville,1959-09-27,973,1,democratie et republique,597.0,2,"[2017, 2018, 2019, 2020, 2021]"
Aurore Bergé,1986-11-13,78,10,la republique en marche,462.0,2,"[2017, 2018, 2019, 2020, 2021, 2022]"
Bruno Duvergé,1957-04-03,62,1,mouvement democrate,171.0,1,"[2017, 2018, 2019, 2020, 2021, 2022]"
Olivier Dussopt,1978-08-16,07,2,parti socialiste,512.0,2,[2017]
Christian Hutin,1961-01-18,59,13,parti socialiste,497.0,2,"[2017, 2018, 2019, 2020, 2021, 2022]"
Alain Tourret,1947-12-25,14,6,la republique en marche,212.0,1,"[2017, 2018, 2019, 2020, 2021, 2022]"
Christophe Euzet,1967-04-02,34,7,alliance ecologiste independante,154.0,0,"[2017, 2018, 2019, 2020, 2021, 2022]"
Jean-Marc Zulesi,1988-06-06,13,8,la republique en marche,305.0,0,"[2017, 2018, 2019, 2020, 2021, 2022]"
Fabrice Le Vigoureux,1969-08-27,14,1,la republique en marche,468.0,0,"[2017, 2018, 2019, 2020, 2021, 2022]"
Anne-Laure Cattelot,1988-10-25,59,12,la republique en marche,271.0,0,"[2017, 2018, 2019, 2020, 2021, 2022]"
Mohamed Laqhila,1959-08-03,13,11,mouvement democrate,172.0,0,"[2017, 2018, 2019, 2020, 2021, 2022]"
Loïc Kervran,1984-02-11,18,3,alliance ecologiste independante,228.0,0,"[2017, 2018, 2019, 2020, 2021, 2022]"
Valérie Oppelt,1973-12-10,44,2,la republique en marche,614.0,0,"[2017, 2018, 2019, 2020, 2021, 2022]"
Bruno Questel,1966-12-21,27,4,la republique en marche,383.0,1,"[2017, 2018, 2019, 2020, 2021, 2022]"
Géraldine Bannier,1979-11-22,53,2,mouvement democrate,163.0,1,"[2017, 2018, 2019, 2020, 2021, 2022]"
Xavier Breton,1962-11-25,01,1,les republicains,41.0,1,"[2017, 2018, 2019, 2020, 2021, 2022]"
Caroline Abadie,1976-09-07,38,8,la republique en marche,346.0,0,"[2017, 2018, 2019, 2020, 2021, 2022]"
Pierre Vatin,1967-08-21,60,5,les republicains,31.0,0,"[2017, 2018, 2019, 2020, 2021, 2022]"
Claire Pitollat,1979-09-17,13,2,la republique en marche,524.0,0,"[2017, 2018, 2019, 2020, 2021, 2022]"
Meyer Habib,1961-04-28,999,8,union des democrates et independants,103.0,0,"[2017, 2018, 2019, 2020, 2021, 2022]"
Philippe Gosselin,1966-10-23,50,1,les republicains,27.0,2,"[2017, 2018, 2019, 2020, 2021, 2022]"
Sylvain Waserman,1967-12-08,67,2,mouvement democrate,267.0,1,"[2017, 2018, 2019, 2020, 2021, 2022]"
Rodrigue Kokouendo,1974-03-08,77,7,la republique en marche,245.0,0,"[2017, 2018, 2019, 2020, 2021, 2022]"
Cécile Rilhac,1974-04-21,95,3,la republique en marche,344.0,0,"[2017, 2018, 2019, 2020, 2021, 2022]"
Marietta Karamanli,1964-12-18,72,2,parti socialiste,502.0,2,"[2017, 2018, 2019, 2020, 2021, 2022]"
Joël Aviragnet,1956-06-16,31,8,parti socialiste,519.0,1,"[2018, 2019, 2020, 2021, 2022]"
Vincent Descoeur,1962-12-13,15,1,les republicains,3.0,3,"[2017, 2018, 2019, 2020, 2021, 2022]"
Valérie Gomez-Bassac,1969-07-16,83,6,la republique en marche,320.0,0,"[2017, 2018, 2019, 2020, 2021, 2022]"
Christian Jacob,1959-12-04,77,4,les republicains,94.0,1,"[2017, 2018, 2019, 2020, 2021, 2022]"
Philippe Latombe,1975-04-21,85,1,mouvement democrate,199.0,0,"[2017, 2018, 2019, 2020, 2021, 2022]"
Marie-Christine Dalloz,1958-01-10,39,2,les republicains,16.0,1,"[2017, 2018, 2019, 2020, 2021, 2022]"
Thibault Bazin,1984-10-27,54,4,les republicains,12.0,1,"[2017, 2018, 2019, 2020, 2021, 2022]"
Marianne Dubois,1957-12-17,45,5,les republicains,20.0,1,"[2017, 2018, 2019, 2020, 2021, 2022]"
Michèle Tabarot,1962-10-13,06,9,les republicains,86.0,1,"[2017, 2018, 2019, 2020, 2021, 2022]"
Jean-Luc Mélenchon,1951-08-19,13,4,la france insoumise,601.0,0,"[2017, 2018, 2019, 2020, 2021, 2022]"
Audrey Dufeu,1980-06-03,44,8,la republique en marche,522.0,0,"[2017, 2018, 2019, 2020, 2021, 2022]"
Florent Boudié,1973-09-22,33,10,la republique en marche,448.0,1,"[2017, 2018, 2019, 2020, 2021, 2022]"
Valérie Beauvais,1963-03-08,51,1,les republicains,14.0,1,"[2017, 2018, 2019, 2020, 2021, 2022]"
Brigitte Bourguignon,1959-03-21,62,6,la republique en marche,461.0,1,[2021]
Jean-Baptiste Djebbari,1982-02-26,87,2,la republique en marche,634.0,0,"[2017, 2018, 2019]"
Denis Masséglia,1981-04-11,49,5,la republique en marche,377.0,0,"[2017, 2018, 2019, 2020, 2021, 2022]"
Jean-Michel Fauvergue,1957-01-31,77,8,la republique en marche,222.0,0,"[2017, 2018, 2019, 2020, 2021, 2022]"
Richard Ramos,1968-03-23,45,6,mouvement democrate,264.0,2,"[2017, 2018, 2019, 2020, 2021, 2022]"
Raphaël Schellenberger,1990-02-14,68,4,les republicains,76.0,1,"[2017, 2018, 2019, 2020, 2021, 2022]"
Fabien Matras,1984-09-12,83,8,la republique en marche,386.0,2,"[2017, 2018, 2019, 2020, 2021, 2022]"
Sacha Houlié,1988-10-08,86,2,la republique en marche,417.0,0,"[2017, 2018, 2019, 2020, 2021, 2022]"
Carole Grandjean,1983-05-18,54,1,la republique en marche,378.0,0,"[2017, 2018, 2019, 2020, 2021, 2022]"
Boris Vallaud,1975-07-25,40,3,parti socialiste,504.0,0,"[2017, 2018, 2019, 2020, 2021, 2022]"
Yves Jégo,1961-04-17,77,3,union pour la democratie francaise,132.0,1,"[2017, 2018]"
Didier Paris,1954-02-14,21,5,la republique en marche,403.0,0,"[2017, 2018, 2019, 2020, 2021, 2022]"
Laëtitia Romeiro Dias,1981-01-15,91,3,la republique en marche,488.0,0,"[2017, 2018, 2019, 2020, 2021, 2022]"
Franck Riester,1974-01-03,77,5,union pour la democratie francaise,157.0,2,"[2017, 2018]"
Sandrine Le Feur,1991-03-18,29,4,la republique en marche,286.0,0,"[2017, 2018, 2019, 2020, 2021, 2022]"
Martine Leguille-Balloy,1957-09-06,85,4,la republique en marche,360.0,0,"[2017, 2018, 2019, 2020, 2021, 2022]"
Alain David,1949-06-02,33,4,parti socialiste,518.0,1,"[2017, 2018, 2019, 2020, 2021, 2022]"
Annie Chapelier,1967-11-07,30,4,alliance ecologiste independante,238.0,0,"[2017, 2018, 2019, 2020, 2021, 2022]"
Marie-Pierre Rixain,1977-01-18,91,4,la republique en marche,475.0,0,"[2017, 2018, 2019, 2020, 2021, 2022]"
Constance Le Grip,1960-11-14,92,6,les republicains,102.0,0,"[2017, 2018, 2019, 2020, 2021, 2022]"
Laurent Furst,1965-05-19,67,6,les republicains,80.0,2,"[2017, 2018, 2019, 2020]"
Marion Lenne,1974-11-20,74,5,la republique en marche,314.0,2,"[2017, 2018, 2019, 2020, 2021, 2022]"
Sira Sylla,1980-03-14,76,4,la republique en marche,291.0,0,"[2017, 2018, 2019, 2020, 2021, 2022]"
Nathalie Sarles,1962-04-17,42,5,la republique en marche,290.0,1,"[2017, 2018, 2019, 2020, 2021, 2022]"
Frédérique Meunier,1960-12-08,19,2,les republicains,5.0,2,"[2017, 2018, 2019, 2020, 2021, 2022]"
André Chassaigne,1950-07-02,63,5,democratie et republique,587.0,1,"[2017, 2018, 2019, 2020, 2021, 2022]"
Régis Juanico,1972-02-05,42,1,parti socialiste,508.0,1,"[2017, 2018, 2019, 2020, 2021, 2022]"
Sébastien Jumel,1971-12-20,76,6,democratie et republique,583.0,2,"[2017, 2018, 2019, 2020, 2021, 2022]"
Catherine Osson,1974-02-07,59,8,la republique en marche,371.0,1,"[2017, 2018, 2019, 2020, 2021, 2022]"
Yolaine de Courson,1954-07-14,21,4,mouvement democrate,639.0,2,"[2017, 2018, 2019, 2020, 2021, 2022]"
Grégory Besson-Moreau,1982-07-07,10,1,la republique en marche,482.0,0,"[2017, 2018, 2019, 2020, 2021, 2022]"
Mounir Mahjoubi,1984-03-01,75,16,la republique en marche,323.0,0,"[2019, 2020, 2021, 2022]"
Éric Ciotti,1965-09-28,06,1,les republicains,91.0,1,"[2017, 2018, 2019, 2020, 2021, 2022]"
Coralie Dubost,1983-03-04,34,3,la republique en marche,347.0,0,"[2017, 2018, 2019, 2020, 2021, 2022]"
Stéphane Trompille,1982-12-01,01,4,la republique en marche,544.0,0,"[2017, 2018, 2019, 2020, 2021, 2022]"
Christine Hennion,1955-08-23,92,3,la republique en marche,270.0,0,"[2017, 2018, 2019, 2020, 2021, 2022]"
Damien Pichereau,1988-01-28,72,1,la republique en marche,303.0,0,"[2017, 2018, 2019, 2020, 2021, 2022]"
Jean-Noël Barrot,1983-05-13,78,2,mouvement democrate,167.0,1,"[2017, 2018, 2019, 2020, 2021, 2022]"
Isabelle Florennes,1967-08-02,92,4,mouvement democrate,177.0,2,"[2017, 2018, 2019, 2020, 2021, 2022]"
Ian Boucard,1988-05-05,90,1,les republicains,39.0,2,"[2018, 2019, 2020, 2021, 2022]"
Éric Straumann,1964-08-17,68,1,les republicains,76.0,1,"[2017, 2018, 2019, 2020]"
Amélia Lakrafi,1978-03-20,999,10,la republique en marche,555.0,0,"[2017, 2018, 2019, 2020, 2021, 2022]"
François Cornut-Gentille,1958-05-22,52,2,les republicains,99.0,2,"[2017, 2018, 2019, 2020, 2021, 2022]"
Jean-Paul Mattei,1954-03-21,64,2,mouvement democrate,255.0,1,"[2017, 2018, 2019, 2020, 2021, 2022]"
Christophe Naegelen,1983-12-30,88,3,union des democrates et independants,135.0,0,"[2017, 2018, 2019, 2020, 2021, 2022]"
Michèle Crouzet,1967-08-31,89,3,mouvement democrate,200.0,1,"[2017, 2018, 2019, 2020, 2021, 2022]"
Philippe Vigier,1958-02-03,28,4,mouvement democrate,186.0,2,"[2017, 2018, 2019, 2020, 2021, 2022]"
Maud Petit,1971-11-15,94,4,mouvement democrate,262.0,1,"[2017, 2018, 2019, 2020, 2021, 2022]"
Pierre-Henri Dumont,1987-10-07,62,7,les republicains,50.0,2,"[2017, 2018, 2019, 2020, 2021, 2022]"
Mickaël Nogal,1990-11-26,31,4,la republique en marche,548.0,0,"[2017, 2018, 2019, 2020, 2021, 2022]"
Jean-Jacques Gaultier,1963-07-13,88,4,les republicains,126.0,2,"[2017, 2018, 2019, 2020, 2021, 2022]"
Florian Bachelier,1979-04-05,35,8,la republique en marche,419.0,0,"[2017, 2018, 2019, 2020, 2021, 2022]"
Christophe Bouillon,1969-03-04,76,5,parti socialiste,520.0,1,"[2017, 2018, 2019, 2020]"
Bruno Millienne,1959-11-28,78,9,mouvement democrate,178.0,1,"[2017, 2018, 2019, 2020, 2021, 2022]"
Philippe Michel-Kleisbauer,1969-03-06,83,5,mouvement democrate,259.0,0,"[2017, 2018, 2019, 2020, 2021, 2022]"
Julien Dive,1985-05-21,02,2,les republicains,53.0,2,"[2017, 2018, 2019, 2020, 2021, 2022]"
Philippe Folliot,1963-07-14,81,1,la republique en marche,469.0,2,"[2017, 2018, 2019, 2020]"
Christophe Lejeune,1969-03-22,70,2,la republique en marche,569.0,1,"[2017, 2018, 2019, 2020, 2021, 2022]"
Hervé Saulignac,1970-11-06,07,1,parti socialiste,576.0,1,"[2017, 2018, 2019, 2020, 2021, 2022]"
Nicolas Forissier,1961-02-17,36,2,les republicains,92.0,1,"[2017, 2018, 2019, 2020, 2021, 2022]"
Hélène Zannier,1972-09-19,57,7,la republique en marche,296.0,1,"[2017, 2018, 2019, 2020, 2021, 2022]"
Graziella Melchior,1960-04-06,29,5,la republique en marche,231.0,0,"[2017, 2018, 2019, 2020, 2021, 2022]"
Geneviève Darrieussecq,1956-03-04,40,1,mouvement democrate,249.0,3,[2017]
Alexandra Valetta Ardisson,1976-06-07,06,4,la republique en marche,451.0,0,"[2017, 2018, 2019, 2020, 2021, 2022]"
Bernard Deflesselles,1953-10-16,13,9,les republicains,88.0,1,"[2017, 2018, 2019, 2020, 2021, 2022]"
Saïd Ahamada,1972-11-07,13,7,la republique en marche,471.0,1,"[2017, 2018, 2019, 2020, 2021, 2022]"
Fadila Khattabi,1962-02-23,21,3,la republique en marche,356.0,1,"[2017, 2018, 2019, 2020, 2021, 2022]"
Sarah El Haïry,1989-03-16,44,5,mouvement democrate,172.0,0,"[2017, 2018, 2019, 2020]"
Dominique Potier,1964-03-17,54,5,parti socialiste,495.0,0,"[2017, 2018, 2019, 2020, 2021, 2022]"
Brigitte Kuster,1959-04-12,75,4,les republicains,138.0,2,"[2017, 2018, 2019, 2020, 2021, 2022]"
Isabelle Valentin,1962-01-20,43,1,les republicains,19.0,1,"[2017, 2018, 2019, 2020, 2021, 2022]"
Michel Lauzzana,1957-03-20,47,1,la republique en marche,400.0,2,"[2017, 2018, 2019, 2020, 2021, 2022]"
Philippe Chalumeau,1963-11-08,37,1,la republique en marche,444.0,0,"[2017, 2018, 2019, 2020, 2021, 2022]"
Stanislas Guerini,1982-05-14,75,3,la republique en marche,293.0,0,"[2017, 2018, 2019, 2020, 2021, 2022]"
Bénédicte Peyrol,1991-03-23,03,3,la republique en marche,395.0,0,"[2017, 2018, 2019, 2020, 2021, 2022]"
Joël Giraud,1959-10-14,05,2,la republique en marche,410.0,1,"[2017, 2018, 2019, 2020]"
Jean-Carles Grelier,1966-03-15,72,5,les republicains,71.0,1,"[2017, 2018, 2019, 2020, 2021, 2022]"
Jean-René Cazeneuve,1958-06-09,32,1,la republique en marche,274.0,2,"[2017, 2018, 2019, 2020, 2021, 2022]"
Muriel Ressiguier,1977-12-21,34,2,la france insoumise,620.0,1,"[2017, 2018, 2019, 2020, 2021, 2022]"
